[2022-07-23T18:34:46.393Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-23T18:34:46.394Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-23T18:34:46.394Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-23T18:34:46.394Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-23T18:34:46.394Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-23T18:34:46.394Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9016
[2022-07-23T18:34:46.394Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9026
[2022-07-23T18:34:46.394Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-23T18:34:46.394Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-23T18:34:46.395Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-23T18:34:46.395Z INFO  consensus::consensus] Node FtO3zctl1H5Fpks4 listening to consensus messages on 0.0.0.0:9006
[2022-07-23T18:34:46.395Z INFO  node::node] Node FtO3zctl1H5Fpks4 successfully booted
[2022-07-23T18:34:46.401Z INFO  consensus::core] I am voter FtO3zctl1H5Fpks4 with nanos 900
[2022-07-23T18:34:46.434Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58049
[2022-07-23T18:34:46.477Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58051
[2022-07-23T18:34:46.560Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58056
[2022-07-23T18:34:46.710Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58058
[2022-07-23T18:34:46.749Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58063
[2022-07-23T18:34:46.916Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58069
[2022-07-23T18:34:47.064Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58072
[2022-07-23T18:34:47.074Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58074
[2022-07-23T18:34:47.120Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58077
[2022-07-23T18:34:47.221Z INFO  network::receiver] Incoming connection established with 127.0.0.1:58079
[2022-07-23T18:34:47.402Z WARN  consensus::core] Timeout reached for round 1
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created with Round number 2 with QC 0 
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> HHDFUlTtB7VHCvbGL9LpE/UaCJW5IBXwLGOQqCRUxlI=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> QuznQfFm7yd/HiPvGtXV3OK8aBZWmOgqnFPsGh9Dz4I=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> xEEE89P7g8idvoImTVy86E0rplYaxsFsYwSJ+9cM7JQ=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> GHDAid5sEaTm4p0O8aT9tdTiZ9nk8kLcB/d1dDG7m1s=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> lr5HD92IpDh7lk3bL1EiH37Ez0Q+nArfUn7MoEB278k=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> xOe7QpYe9FLPVbCwqoB3l93IvLiYi0QricKgITac9sY=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> nkre/VwabfYPHvtXVoYdHuxSNpbHrMazdW02cHNRmaY=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> wzpsNRGh0CG1C6PtvENxPTbn9LUPYY6JXYiKdXegQsc=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> duTPnpX1FgtkJhqj2iznMC53bHwAFFwkHai4TH/Kpgo=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> XCprZXSRvPEt4NIZLHEu97/AzgdDL0bpmGotDhO7ZeY=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> jsyPdH4fyE0jY2K2K1/iVpWQ/ov5f1gmKdFWXS2gQMA=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> WPwZJ2S638CysYimpjCHbB2NARiGwXFypeXD/y4Ycz8=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> JS6IR3hoDooGHwHSPWZOS3JLW5C/YIJZLPbOKuh/xT4=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> WUYKYtBggaGXo5xruP1Ik+pq7yj8gqXukS5TWzyyOmE=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> D9VdMxmRt+9fO/bfEpjlEjkx6IX14D0d1z/d3GNANO0=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> 0dqVCDqNOPSvnEFZTZENBApJfTIZwyeQjDl8JaOxlwA=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> 0WkkyZbHRdZdws1QnIgbQDD3trLoinXNYspYUahtUlw=
[2022-07-23T18:34:47.403Z INFO  consensus::proposer] Created B2 -> 9X9NyeqHnwFj6tT8d5hPorXXCYaLfNgUONWwfqNMboc=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> VcHtNYGcJqa71+24bzJH0oK1Dik0P0oKnA+EnbECwRg=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> 8N+d9Depma4TuMw5tUEfBYOYU3gErDo8x/mxtZFoKgA=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> fHPYEil5BylKMoSgEfMT9XGhzl+1yPoP328EK/8AgJ4=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> bVeMGkSSnrqcgEtuCiNsWh0DEgKCVV+aG6V/Xr1rngc=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> 1TYdkuq1CGesyUZsPIxIaUWDYki8WJEbpnJiVto888E=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> gJ+q9MMM9LQmQ47IdED1fPLnPUMjejO0xS2lVzVZ9cw=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> NbfpmGxv6d3ZhTri7AG//dA5ibo/6M+IaMXugfNx1Uk=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> Ek+MaEfDdb2oPzxvx2CoOLqONsr+S6nTqPcq2BhyJpo=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> wpF4n8uMGoo8JKL4OvreCEPRoMg0FaWzYLCjcz0SLBY=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> Oz5+Lo9ajN76hcS+jB+80wSNEBsBRD5+w5+f6zlrEYQ=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> 33jeqT8PfivaJJsU6zC3vwogywzNOPsLG+7n9q2M6P0=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> EZ3IekFILf3PskfEGuwoMSJXQRG3W8/gsZ0M5OsDMew=
[2022-07-23T18:34:47.404Z INFO  consensus::proposer] Created B2 -> rtXaAtdPAsx3Ze6tt9aiWCcs5B3k7Ci1ASdOqQ7FivI=
