[2022-07-17T11:57:32.752Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-17T11:57:32.753Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-17T11:57:32.753Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-17T11:57:32.753Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-17T11:57:32.753Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-17T11:57:32.753Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9014
[2022-07-17T11:57:32.753Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9024
[2022-07-17T11:57:32.753Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-17T11:57:32.753Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-17T11:57:32.753Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-17T11:57:32.753Z INFO  consensus::consensus] Node HcfKr/Z12Y/gHKJ7 listening to consensus messages on 0.0.0.0:9004
[2022-07-17T11:57:32.753Z INFO  node::node] Node HcfKr/Z12Y/gHKJ7 successfully booted
[2022-07-17T11:57:32.753Z INFO  consensus::proposer] Created B1
[2022-07-17T11:57:32.753Z INFO  consensus::proposer] Created with Round number 1 with QC 0 
[2022-07-17T11:57:32.754Z INFO  consensus::core] I'm processor HcfKr/Z12Y/gHKJ7 processing for block B1 with round number 1 with QC 0 from leader HcfKr/Z12Y/gHKJ7
[2022-07-17T11:57:32.754Z INFO  consensus::core] I'm voter HcfKr/Z12Y/gHKJ7 voting for block B1 with round number 1 with QC 0 from leader HcfKr/Z12Y/gHKJ7
[2022-07-17T11:57:32.754Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9006 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:32.755Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9007 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:32.755Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:32.755Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-17T11:57:32.755Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9001
[2022-07-17T11:57:32.755Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9008 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:32.755Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9008 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:32.755Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9000
[2022-07-17T11:57:32.755Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9005 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:32.755Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9002
[2022-07-17T11:57:32.959Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9007
[2022-07-17T11:57:32.959Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9006
[2022-07-17T11:57:32.959Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9005
[2022-07-17T11:57:32.960Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9008 (retry 1): Connection refused (os error 111)
[2022-07-17T11:57:32.960Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 1): Connection refused (os error 111)
[2022-07-17T11:57:33.361Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9008
[2022-07-17T11:57:33.361Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 2): Connection refused (os error 111)
[2022-07-17T11:57:33.467Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50391
[2022-07-17T11:57:33.523Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50405
[2022-07-17T11:57:33.613Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50408
[2022-07-17T11:57:33.697Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50421
[2022-07-17T11:57:33.755Z WARN  consensus::core] Timeout reached for round 1
[2022-07-17T11:57:33.759Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9001
[2022-07-17T11:57:33.760Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9007
[2022-07-17T11:57:33.761Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9006
[2022-07-17T11:57:33.761Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9000
[2022-07-17T11:57:33.762Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9005
[2022-07-17T11:57:33.762Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9008
[2022-07-17T11:57:33.762Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9002
[2022-07-17T11:57:33.763Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-17T11:57:33.763Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:33.816Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50436
[2022-07-17T11:57:33.874Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50450
[2022-07-17T11:57:33.878Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50462
[2022-07-17T11:57:33.878Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50463
[2022-07-17T11:57:33.882Z INFO  consensus::core] I'm handler HcfKr/Z12Y/gHKJ7 handling for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.883Z INFO  consensus::core] I'm processor HcfKr/Z12Y/gHKJ7 processing for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.883Z INFO  consensus::core] I'm voter HcfKr/Z12Y/gHKJ7 voting for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.886Z INFO  consensus::core] I'm handler HcfKr/Z12Y/gHKJ7 handling for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.887Z INFO  consensus::core] I'm processor HcfKr/Z12Y/gHKJ7 processing for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.887Z INFO  consensus::core] I'm voter HcfKr/Z12Y/gHKJ7 voting for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.890Z INFO  consensus::core] I'm handler HcfKr/Z12Y/gHKJ7 handling for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.892Z INFO  consensus::core] I'm processor HcfKr/Z12Y/gHKJ7 processing for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.892Z INFO  consensus::core] I'm voter HcfKr/Z12Y/gHKJ7 voting for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.893Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50480
[2022-07-17T11:57:33.898Z INFO  consensus::core] I'm handler HcfKr/Z12Y/gHKJ7 handling for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.899Z INFO  consensus::core] I'm processor HcfKr/Z12Y/gHKJ7 processing for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.899Z INFO  consensus::core] I'm voter HcfKr/Z12Y/gHKJ7 voting for block B2 with round number 2 with QC 0 from leader WVbgOh1+y3pIUM0i
[2022-07-17T11:57:33.904Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50482
[2022-07-17T11:57:33.907Z INFO  consensus::core] I'm handler HcfKr/Z12Y/gHKJ7 handling for block B4 with round number 4 with QC 3 from leader gfy+qYY64L/9IvjZ
[2022-07-17T11:57:33.911Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9007
[2022-07-17T11:57:33.912Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50499
[2022-07-17T11:57:33.912Z INFO  consensus::core] I'm handler HcfKr/Z12Y/gHKJ7 handling for block B5 with round number 5 with QC 4 from leader lyBXmbEsBr5uDRln
[2022-07-17T11:57:33.915Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50506
[2022-07-17T11:57:33.915Z INFO  consensus::core] I'm handler HcfKr/Z12Y/gHKJ7 handling for block B3 with round number 3 with QC 2 from leader dQu+XPfExu4PMUYq
[2022-07-17T11:57:33.916Z INFO  consensus::core] I'm processor HcfKr/Z12Y/gHKJ7 processing for block B3 with round number 3 with QC 2 from leader dQu+XPfExu4PMUYq
[2022-07-17T11:57:33.916Z INFO  consensus::core] I'm voter HcfKr/Z12Y/gHKJ7 voting for block B3 with round number 3 with QC 2 from leader dQu+XPfExu4PMUYq
[2022-07-17T11:57:33.916Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9002
[2022-07-17T11:57:33.917Z INFO  consensus::core] I'm processor HcfKr/Z12Y/gHKJ7 processing for block B4 with round number 4 with QC 3 from leader gfy+qYY64L/9IvjZ
[2022-07-17T11:57:33.917Z INFO  consensus::core] I'm voter HcfKr/Z12Y/gHKJ7 voting for block B4 with round number 4 with QC 3 from leader gfy+qYY64L/9IvjZ
[2022-07-17T11:57:33.917Z INFO  consensus::core] I'm processor HcfKr/Z12Y/gHKJ7 processing for block B5 with round number 5 with QC 4 from leader lyBXmbEsBr5uDRln
[2022-07-17T11:57:33.917Z INFO  consensus::core] I'm voter HcfKr/Z12Y/gHKJ7 voting for block B5 with round number 5 with QC 4 from leader lyBXmbEsBr5uDRln
[2022-07-17T11:57:33.917Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:33.917Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50513
[2022-07-17T11:57:33.918Z INFO  consensus::core] I'm handler HcfKr/Z12Y/gHKJ7 handling for block B4 with round number 4 with QC 3 from leader gfy+qYY64L/9IvjZ
[2022-07-17T11:57:33.919Z INFO  consensus::core] I'm processor HcfKr/Z12Y/gHKJ7 processing for block B4 with round number 4 with QC 3 from leader gfy+qYY64L/9IvjZ
[2022-07-17T11:57:33.919Z INFO  consensus::core] I'm voter HcfKr/Z12Y/gHKJ7 voting for block B4 with round number 4 with QC 3 from leader gfy+qYY64L/9IvjZ
[2022-07-17T11:57:33.920Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:33.931Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50518
[2022-07-17T11:57:33.977Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50527
[2022-07-17T11:57:34.036Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50541
[2022-07-17T11:57:34.092Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50555
[2022-07-17T11:57:34.145Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50560
[2022-07-17T11:57:34.156Z INFO  mempool::batch_maker] Batch B/OhbDMfT/o6qEo2iLpxgRi1y/CAkLwsLc3dGw47ok8= contains sample tx 0
[2022-07-17T11:57:34.156Z INFO  mempool::batch_maker] Batch B/OhbDMfT/o6qEo2iLpxgRi1y/CAkLwsLc3dGw47ok8= contains 2560 B
[2022-07-17T11:57:34.157Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9029 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:34.157Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9025
[2022-07-17T11:57:34.157Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9028
[2022-07-17T11:57:34.157Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9026
[2022-07-17T11:57:34.157Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9023
[2022-07-17T11:57:34.157Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9027
[2022-07-17T11:57:34.157Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9020
[2022-07-17T11:57:34.157Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9021
[2022-07-17T11:57:34.157Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9022
[2022-07-17T11:57:34.163Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 3): Connection refused (os error 111)
[2022-07-17T11:57:34.201Z INFO  mempool::batch_maker] Batch OsnGf1EgYDVUqNUst/SA+0fFsOu60AfXze8vZbgn2MU= contains sample tx 1
[2022-07-17T11:57:34.201Z INFO  mempool::batch_maker] Batch OsnGf1EgYDVUqNUst/SA+0fFsOu60AfXze8vZbgn2MU= contains 2560 B
[2022-07-17T11:57:34.206Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50580
[2022-07-17T11:57:34.254Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50592
[2022-07-17T11:57:34.258Z INFO  mempool::batch_maker] Batch jk6h3+Ca83kZeU7UlD84oy3zf5exImvJPuq3STBoarI= contains sample tx 2
[2022-07-17T11:57:34.258Z INFO  mempool::batch_maker] Batch jk6h3+Ca83kZeU7UlD84oy3zf5exImvJPuq3STBoarI= contains 2560 B
[2022-07-17T11:57:34.301Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50597
[2022-07-17T11:57:34.305Z INFO  mempool::batch_maker] Batch qUnT9Bj74uWT16YiTXBuhwTQWuK/rnLSWjckYS1CYRg= contains sample tx 3
[2022-07-17T11:57:34.305Z INFO  mempool::batch_maker] Batch qUnT9Bj74uWT16YiTXBuhwTQWuK/rnLSWjckYS1CYRg= contains 2560 B
[2022-07-17T11:57:34.350Z INFO  mempool::batch_maker] Batch 2N/3lQJqplqAIbtMBm1DV+KDn2zK7KwBqbMA5fIsrH4= contains sample tx 4
[2022-07-17T11:57:34.350Z INFO  mempool::batch_maker] Batch 2N/3lQJqplqAIbtMBm1DV+KDn2zK7KwBqbMA5fIsrH4= contains 2560 B
[2022-07-17T11:57:34.354Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50608
[2022-07-17T11:57:34.359Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9029 (retry 1): Connection refused (os error 111)
[2022-07-17T11:57:34.410Z INFO  mempool::batch_maker] Batch vyFs4JQALizA72/fEvsZvBkLShjDMv54oICI4IeCERk= contains sample tx 5
[2022-07-17T11:57:34.410Z INFO  mempool::batch_maker] Batch vyFs4JQALizA72/fEvsZvBkLShjDMv54oICI4IeCERk= contains 2560 B
[2022-07-17T11:57:34.455Z INFO  mempool::batch_maker] Batch x13cuB/6R8OopzbWSh3j56qkobWuneyVFF9sXIgcvts= contains sample tx 6
[2022-07-17T11:57:34.455Z INFO  mempool::batch_maker] Batch x13cuB/6R8OopzbWSh3j56qkobWuneyVFF9sXIgcvts= contains 2560 B
[2022-07-17T11:57:34.501Z INFO  mempool::batch_maker] Batch k2cG3y9NyHyyTypKR5FcE+FM4QWe/amYC4YQl/UfoAA= contains sample tx 7
[2022-07-17T11:57:34.501Z INFO  mempool::batch_maker] Batch k2cG3y9NyHyyTypKR5FcE+FM4QWe/amYC4YQl/UfoAA= contains 2560 B
[2022-07-17T11:57:34.557Z INFO  mempool::batch_maker] Batch 0AisoPZ+qm5iNj4gtFotrOTlOgjWijabiUCiWxQyP60= contains sample tx 8
[2022-07-17T11:57:34.557Z INFO  mempool::batch_maker] Batch 0AisoPZ+qm5iNj4gtFotrOTlOgjWijabiUCiWxQyP60= contains 2560 B
[2022-07-17T11:57:34.604Z INFO  mempool::batch_maker] Batch E95wEtxQEpN2kGdw+mPJyA8AJI/8dT5jqoygX0il02I= contains sample tx 9
[2022-07-17T11:57:34.604Z INFO  mempool::batch_maker] Batch E95wEtxQEpN2kGdw+mPJyA8AJI/8dT5jqoygX0il02I= contains 2560 B
[2022-07-17T11:57:34.649Z INFO  mempool::batch_maker] Batch qZMIf5E6uvYJVbWhuTKIY8i9Nnm3PUtHlSBopKWvcjA= contains sample tx 10
[2022-07-17T11:57:34.649Z INFO  mempool::batch_maker] Batch qZMIf5E6uvYJVbWhuTKIY8i9Nnm3PUtHlSBopKWvcjA= contains 512 B
[2022-07-17T11:57:34.661Z INFO  mempool::batch_maker] Batch kOXtv5gj0QZ6qVQSdwgQmMfPIPG8GGpcMXK+dSN6G6k= contains 2048 B
[2022-07-17T11:57:34.705Z INFO  mempool::batch_maker] Batch 8M8Ofg7MoHSBQvYHopgjmVTMRjzVR7g1KQNHOvOCwPI= contains sample tx 11
[2022-07-17T11:57:34.705Z INFO  mempool::batch_maker] Batch 8M8Ofg7MoHSBQvYHopgjmVTMRjzVR7g1KQNHOvOCwPI= contains 2560 B
[2022-07-17T11:57:34.751Z INFO  mempool::batch_maker] Batch FjQdBXEJ/XVULbj+Jmsh/a+JTeQbzc8+OhNnsWIGgkw= contains sample tx 12
[2022-07-17T11:57:34.751Z INFO  mempool::batch_maker] Batch FjQdBXEJ/XVULbj+Jmsh/a+JTeQbzc8+OhNnsWIGgkw= contains 2560 B
[2022-07-17T11:57:34.761Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9029 (retry 2): Connection refused (os error 111)
[2022-07-17T11:57:34.809Z INFO  mempool::batch_maker] Batch f2BOIlc6d9knUu+ny5N/8au5nsxQr6g6w+MXx2cAiqU= contains sample tx 13
[2022-07-17T11:57:34.809Z INFO  mempool::batch_maker] Batch f2BOIlc6d9knUu+ny5N/8au5nsxQr6g6w+MXx2cAiqU= contains 2560 B
[2022-07-17T11:57:34.856Z INFO  mempool::batch_maker] Batch 4So4lr9u5jEEp5NDDu5+To6n2IMENEsBn/a3puvPoks= contains sample tx 14
[2022-07-17T11:57:34.856Z INFO  mempool::batch_maker] Batch 4So4lr9u5jEEp5NDDu5+To6n2IMENEsBn/a3puvPoks= contains 2560 B
[2022-07-17T11:57:34.900Z INFO  mempool::batch_maker] Batch VbT2bHc0zVNtBtUTvOjexnbRc0T7Jd2CpHLYxxVGcEQ= contains sample tx 15
[2022-07-17T11:57:34.900Z INFO  mempool::batch_maker] Batch VbT2bHc0zVNtBtUTvOjexnbRc0T7Jd2CpHLYxxVGcEQ= contains 2560 B
[2022-07-17T11:57:34.916Z WARN  consensus::core] Timeout reached for round 5
[2022-07-17T11:57:34.920Z INFO  network::receiver] Incoming connection established with 127.0.0.1:50643
[2022-07-17T11:57:34.924Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-17T11:57:34.959Z INFO  mempool::batch_maker] Batch yWs2zJhL24xThRD5pdnWSP3KIp/xY2Kub6FqXw7GgU0= contains sample tx 16
[2022-07-17T11:57:34.959Z INFO  mempool::batch_maker] Batch yWs2zJhL24xThRD5pdnWSP3KIp/xY2Kub6FqXw7GgU0= contains 2560 B
[2022-07-17T11:57:35.005Z INFO  mempool::batch_maker] Batch z6UNSge9xYLYadlUU+fmf3+x9ODtV6BOUI0V/H1YUh4= contains sample tx 17
[2022-07-17T11:57:35.005Z INFO  mempool::batch_maker] Batch z6UNSge9xYLYadlUU+fmf3+x9ODtV6BOUI0V/H1YUh4= contains 2560 B
[2022-07-17T11:57:35.051Z INFO  mempool::batch_maker] Batch yFfL776V/rpinxKA33UxMRLZ1tlas69Fyw7HrJNku4s= contains sample tx 18
[2022-07-17T11:57:35.051Z INFO  mempool::batch_maker] Batch yFfL776V/rpinxKA33UxMRLZ1tlas69Fyw7HrJNku4s= contains 2560 B
[2022-07-17T11:57:35.107Z INFO  mempool::batch_maker] Batch 19bp30icYidEe+mwu8u72n8aZQkBBLgecJwd0VSJPZQ= contains sample tx 19
[2022-07-17T11:57:35.107Z INFO  mempool::batch_maker] Batch 19bp30icYidEe+mwu8u72n8aZQkBBLgecJwd0VSJPZQ= contains 2560 B
[2022-07-17T11:57:35.152Z INFO  mempool::batch_maker] Batch Fx2b+yJjl4kvMKqeG4tcO3k0fSDkXptFBlbBx7Tvy38= contains sample tx 20
[2022-07-17T11:57:35.152Z INFO  mempool::batch_maker] Batch Fx2b+yJjl4kvMKqeG4tcO3k0fSDkXptFBlbBx7Tvy38= contains 2048 B
[2022-07-17T11:57:35.164Z INFO  mempool::batch_maker] Batch /HZ4YSiMWmDdRq/1lmCcCY7XU80rQKq6+xA3xFJFZ/Y= contains 512 B
[2022-07-17T11:57:35.198Z INFO  mempool::batch_maker] Batch ll0kyOZSBKfxsel/BHv4Py+N5Bf3i2Hplzk8qkbqhc4= contains 512 B
[2022-07-17T11:57:35.210Z INFO  mempool::batch_maker] Batch yqWsHnW6Um2gAHK0RYZUc+zAE7nGJvGpiWfRchzqKYk= contains sample tx 21
[2022-07-17T11:57:35.210Z INFO  mempool::batch_maker] Batch yqWsHnW6Um2gAHK0RYZUc+zAE7nGJvGpiWfRchzqKYk= contains 2048 B
[2022-07-17T11:57:35.257Z INFO  mempool::batch_maker] Batch ZKYnx77Z0uSFhWREEtZgv6AMnAUNnU+nmDKg63ph1oI= contains sample tx 22
[2022-07-17T11:57:35.257Z INFO  mempool::batch_maker] Batch ZKYnx77Z0uSFhWREEtZgv6AMnAUNnU+nmDKg63ph1oI= contains 2560 B
[2022-07-17T11:57:35.301Z INFO  mempool::batch_maker] Batch uFeWKqmIdbmSXvjZpRLECZNWVSKoqGQuKWpe0KQ9oZk= contains sample tx 23
[2022-07-17T11:57:35.301Z INFO  mempool::batch_maker] Batch uFeWKqmIdbmSXvjZpRLECZNWVSKoqGQuKWpe0KQ9oZk= contains 2560 B
[2022-07-17T11:57:35.358Z INFO  mempool::batch_maker] Batch djXGGueBWh8miMfWFMydk4SeRfkk0jukxf1Pt5yud2Y= contains sample tx 24
[2022-07-17T11:57:35.358Z INFO  mempool::batch_maker] Batch djXGGueBWh8miMfWFMydk4SeRfkk0jukxf1Pt5yud2Y= contains 2560 B
[2022-07-17T11:57:35.404Z INFO  mempool::batch_maker] Batch QFWc0l63pI3idKRIZCybbR0nlpbpcYXc5kQgO0besWo= contains sample tx 25
[2022-07-17T11:57:35.404Z INFO  mempool::batch_maker] Batch QFWc0l63pI3idKRIZCybbR0nlpbpcYXc5kQgO0besWo= contains 2560 B
[2022-07-17T11:57:35.451Z INFO  mempool::batch_maker] Batch nuoqpCA1Zp7AxlrjHPBhsL06BtLArDymh4CjCsUIHQs= contains sample tx 26
[2022-07-17T11:57:35.451Z INFO  mempool::batch_maker] Batch nuoqpCA1Zp7AxlrjHPBhsL06BtLArDymh4CjCsUIHQs= contains 2560 B
