[2022-07-23T17:50:43.702Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-23T17:50:43.703Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-23T17:50:43.703Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-23T17:50:43.703Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-23T17:50:43.703Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-23T17:50:43.703Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9015
[2022-07-23T17:50:43.703Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9025
[2022-07-23T17:50:43.703Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-23T17:50:43.703Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-23T17:50:43.703Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-23T17:50:43.703Z INFO  consensus::consensus] Node 3NS3AOOysBY78jw/ listening to consensus messages on 0.0.0.0:9005
[2022-07-23T17:50:43.703Z INFO  node::node] Node 3NS3AOOysBY78jw/ successfully booted
[2022-07-23T17:50:43.705Z INFO  consensus::core] I am voter 3NS3AOOysBY78jw/ with nanos 800
[2022-07-23T17:50:43.974Z INFO  network::receiver] Incoming connection established with 127.0.0.1:52532
[2022-07-23T17:50:43.976Z INFO  consensus::core] I'm handler 3NS3AOOysBY78jw/ handling for block B1 with round number 1 with QC 0 from leader NBCBdp3iUtvZftc1
[2022-07-23T17:50:43.977Z INFO  consensus::core] I'm processor 3NS3AOOysBY78jw/ processing for block B1 with round number 1 with QC 0 from leader NBCBdp3iUtvZftc1
[2022-07-23T17:50:43.977Z INFO  consensus::core] I'm voter 3NS3AOOysBY78jw/ voting for block B1 with round number 1 with QC 0 from leader NBCBdp3iUtvZftc1
[2022-07-23T17:50:43.978Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-23T17:50:43.980Z INFO  network::receiver] Incoming connection established with 127.0.0.1:52543
