[2022-07-23T16:33:20.588Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-23T16:33:20.589Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-23T16:33:20.589Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-23T16:33:20.589Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-23T16:33:20.589Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-23T16:33:20.589Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9016
[2022-07-23T16:33:20.589Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9026
[2022-07-23T16:33:20.589Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-23T16:33:20.589Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-23T16:33:20.589Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-23T16:33:20.589Z INFO  consensus::consensus] Node jbH2hxwFM6VVE7Ft listening to consensus messages on 0.0.0.0:9006
[2022-07-23T16:33:20.589Z INFO  node::node] Node jbH2hxwFM6VVE7Ft successfully booted
[2022-07-23T16:33:20.590Z INFO  consensus::core] I am voter jbH2hxwFM6VVE7Ft with nanos 0
[2022-07-23T16:33:20.682Z INFO  network::receiver] Incoming connection established with 127.0.0.1:51690
[2022-07-23T16:33:20.683Z INFO  consensus::core] I'm handler jbH2hxwFM6VVE7Ft handling for block B1 with round number 1 with QC 0 from leader VFX36h8pWUwZRivQ
[2022-07-23T16:33:20.683Z INFO  consensus::core] I'm processor jbH2hxwFM6VVE7Ft processing for block B1 with round number 1 with QC 0 from leader VFX36h8pWUwZRivQ
[2022-07-23T16:33:20.683Z INFO  consensus::core] I'm voter jbH2hxwFM6VVE7Ft voting for block B1 with round number 1 with QC 0 from leader VFX36h8pWUwZRivQ
[2022-07-23T16:33:20.684Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-23T16:33:20.871Z INFO  network::receiver] Incoming connection established with 127.0.0.1:51702
[2022-07-23T16:33:20.991Z INFO  network::receiver] Incoming connection established with 127.0.0.1:51707
[2022-07-23T16:33:21.155Z INFO  network::receiver] Incoming connection established with 127.0.0.1:51723
[2022-07-23T16:33:21.211Z INFO  network::receiver] Incoming connection established with 127.0.0.1:51735
[2022-07-23T16:33:21.226Z INFO  network::receiver] Incoming connection established with 127.0.0.1:51744
