[2022-07-23T17:56:50.696Z INFO  consensus::core] I'm processor JSfrWTJRqEty5jKI processing for block B4 with round number 4 with QC 3 from leader Q3BwmTRjGsgrcYeA
[2022-07-23T17:56:50.696Z INFO  consensus::core] I'm voter JSfrWTJRqEty5jKI voting for block B4 with round number 4 with QC 3 from leader Q3BwmTRjGsgrcYeA
[2022-07-23T17:56:50.698Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9004
[2022-07-23T17:56:50.706Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59621
[2022-07-23T17:56:50.712Z INFO  consensus::core] I'm handler JSfrWTJRqEty5jKI handling for block B5 with round number 5 with QC 4 from leader RuiehUPsnkTa/Ih9
[2022-07-23T17:56:50.714Z INFO  consensus::core] I'm processor JSfrWTJRqEty5jKI processing for block B5 with round number 5 with QC 4 from leader RuiehUPsnkTa/Ih9
[2022-07-23T17:56:50.714Z INFO  consensus::core] I'm voter JSfrWTJRqEty5jKI voting for block B5 with round number 5 with QC 4 from leader RuiehUPsnkTa/Ih9
[2022-07-23T17:56:50.716Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9006
[2022-07-23T17:56:50.727Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59638
[2022-07-23T17:56:50.728Z INFO  consensus::core] I'm handler JSfrWTJRqEty5jKI handling for block B6 with round number 6 with QC 5 from leader VIGGa0hAtUKMjcA8
[2022-07-23T17:56:50.729Z INFO  consensus::core] I'm processor JSfrWTJRqEty5jKI processing for block B6 with round number 6 with QC 5 from leader VIGGa0hAtUKMjcA8
[2022-07-23T17:56:50.730Z INFO  consensus::core] I'm voter JSfrWTJRqEty5jKI voting for block B6 with round number 6 with QC 5 from leader VIGGa0hAtUKMjcA8
[2022-07-23T17:56:50.730Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-23T17:56:51.309Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59674
[2022-07-23T17:56:51.321Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59677
[2022-07-23T17:56:51.332Z INFO  mempool::batch_maker] Batch EZhI2Hqp807v1h0xHEqjLUok46z41/+uHqV3+Mn4RqE= contains sample tx 0
[2022-07-23T17:56:51.332Z INFO  mempool::batch_maker] Batch EZhI2Hqp807v1h0xHEqjLUok46z41/+uHqV3+Mn4RqE= contains 2560 B
[2022-07-23T17:56:51.335Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9029 (retry 0): Connection refused (os error 111)
