[2022-07-23T16:54:54.843Z INFO  client] Node address: 127.0.0.1:9017
[2022-07-23T16:54:54.844Z INFO  client] Transactions size: 512 B
[2022-07-23T16:54:54.844Z INFO  client] Transactions rate: 112 tx/s
[2022-07-23T16:54:54.844Z INFO  client] Waiting for all nodes to be online...
[2022-07-23T16:54:54.844Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-23T16:54:56.966Z INFO  client] Start sending transactions
[2022-07-23T16:54:57.053Z INFO  client] Sending sample transaction 0
[2022-07-23T16:54:57.091Z INFO  client] Sending sample transaction 1
[2022-07-23T16:54:57.092Z INFO  client] Sending sample transaction 2
[2022-07-23T16:54:57.213Z INFO  client] Sending sample transaction 3
[2022-07-23T16:54:57.215Z INFO  client] Sending sample transaction 4
[2022-07-23T16:54:57.223Z INFO  client] Sending sample transaction 5
[2022-07-23T16:54:57.343Z INFO  client] Sending sample transaction 6
[2022-07-23T16:54:57.370Z INFO  client] Sending sample transaction 7
[2022-07-23T16:54:57.381Z INFO  client] Sending sample transaction 8
[2022-07-23T16:54:57.473Z INFO  client] Sending sample transaction 9
[2022-07-23T16:54:57.473Z INFO  client] Sending sample transaction 10
[2022-07-23T16:54:57.532Z INFO  client] Sending sample transaction 11
[2022-07-23T16:54:57.601Z INFO  client] Sending sample transaction 12
[2022-07-23T16:54:57.627Z INFO  client] Sending sample transaction 13
[2022-07-23T16:54:57.675Z INFO  client] Sending sample transaction 14
[2022-07-23T16:54:57.716Z INFO  client] Sending sample transaction 15
[2022-07-23T16:54:57.770Z INFO  client] Sending sample transaction 16
[2022-07-23T16:54:57.819Z INFO  client] Sending sample transaction 17
[2022-07-23T16:54:57.868Z INFO  client] Sending sample transaction 18
[2022-07-23T16:54:57.917Z INFO  client] Sending sample transaction 19
[2022-07-23T16:54:57.975Z INFO  client] Sending sample transaction 20
[2022-07-23T16:54:58.017Z INFO  client] Sending sample transaction 21
[2022-07-23T16:54:58.067Z INFO  client] Sending sample transaction 22
[2022-07-23T16:54:58.118Z INFO  client] Sending sample transaction 23
[2022-07-23T16:54:58.168Z INFO  client] Sending sample transaction 24
[2022-07-23T16:54:58.216Z INFO  client] Sending sample transaction 25
[2022-07-23T16:54:58.267Z INFO  client] Sending sample transaction 26
[2022-07-23T16:54:58.318Z INFO  client] Sending sample transaction 27
[2022-07-23T16:54:58.367Z INFO  client] Sending sample transaction 28
[2022-07-23T16:54:58.418Z INFO  client] Sending sample transaction 29
[2022-07-23T16:54:58.466Z INFO  client] Sending sample transaction 30
[2022-07-23T16:54:58.517Z INFO  client] Sending sample transaction 31
[2022-07-23T16:54:58.567Z INFO  client] Sending sample transaction 32
[2022-07-23T16:54:58.617Z INFO  client] Sending sample transaction 33
[2022-07-23T16:54:58.668Z INFO  client] Sending sample transaction 34
[2022-07-23T16:54:58.748Z INFO  client] Sending sample transaction 35
[2022-07-23T16:54:58.771Z INFO  client] Sending sample transaction 36
[2022-07-23T16:54:58.828Z INFO  client] Sending sample transaction 37
[2022-07-23T16:54:58.874Z INFO  client] Sending sample transaction 38
[2022-07-23T16:54:58.917Z INFO  client] Sending sample transaction 39
[2022-07-23T16:54:58.966Z INFO  client] Sending sample transaction 40
[2022-07-23T16:54:59.018Z INFO  client] Sending sample transaction 41
[2022-07-23T16:54:59.085Z INFO  client] Sending sample transaction 42
[2022-07-23T16:54:59.131Z INFO  client] Sending sample transaction 43
[2022-07-23T16:54:59.173Z INFO  client] Sending sample transaction 44
[2022-07-23T16:54:59.216Z INFO  client] Sending sample transaction 45
[2022-07-23T16:54:59.267Z INFO  client] Sending sample transaction 46
[2022-07-23T16:54:59.317Z INFO  client] Sending sample transaction 47
[2022-07-23T16:54:59.367Z INFO  client] Sending sample transaction 48
[2022-07-23T16:54:59.417Z INFO  client] Sending sample transaction 49
[2022-07-23T16:54:59.467Z INFO  client] Sending sample transaction 50
[2022-07-23T16:54:59.516Z INFO  client] Sending sample transaction 51
[2022-07-23T16:54:59.567Z INFO  client] Sending sample transaction 52
[2022-07-23T16:54:59.617Z INFO  client] Sending sample transaction 53
[2022-07-23T16:54:59.667Z INFO  client] Sending sample transaction 54
[2022-07-23T16:54:59.717Z INFO  client] Sending sample transaction 55
[2022-07-23T16:54:59.766Z INFO  client] Sending sample transaction 56
[2022-07-23T16:54:59.816Z INFO  client] Sending sample transaction 57
[2022-07-23T16:54:59.867Z INFO  client] Sending sample transaction 58
[2022-07-23T16:54:59.917Z INFO  client] Sending sample transaction 59
[2022-07-23T16:54:59.967Z INFO  client] Sending sample transaction 60
[2022-07-23T16:55:00.049Z INFO  client] Sending sample transaction 61
[2022-07-23T16:55:00.073Z INFO  client] Sending sample transaction 62
[2022-07-23T16:55:00.128Z INFO  client] Sending sample transaction 63
[2022-07-23T16:55:00.166Z INFO  client] Sending sample transaction 64
[2022-07-23T16:55:00.217Z INFO  client] Sending sample transaction 65
[2022-07-23T16:55:00.268Z INFO  client] Sending sample transaction 66
[2022-07-23T16:55:00.320Z INFO  client] Sending sample transaction 67
[2022-07-23T16:55:00.367Z INFO  client] Sending sample transaction 68
[2022-07-23T16:55:00.417Z INFO  client] Sending sample transaction 69
[2022-07-23T16:55:00.466Z INFO  client] Sending sample transaction 70
[2022-07-23T16:55:00.516Z INFO  client] Sending sample transaction 71
[2022-07-23T16:55:00.569Z INFO  client] Sending sample transaction 72
[2022-07-23T16:55:00.617Z INFO  client] Sending sample transaction 73
[2022-07-23T16:55:00.667Z INFO  client] Sending sample transaction 74
[2022-07-23T16:55:00.716Z INFO  client] Sending sample transaction 75
[2022-07-23T16:55:00.766Z INFO  client] Sending sample transaction 76
[2022-07-23T16:55:00.818Z INFO  client] Sending sample transaction 77
[2022-07-23T16:55:00.866Z INFO  client] Sending sample transaction 78
[2022-07-23T16:55:00.919Z INFO  client] Sending sample transaction 79
[2022-07-23T16:55:00.966Z INFO  client] Sending sample transaction 80
[2022-07-23T16:55:01.017Z INFO  client] Sending sample transaction 81
[2022-07-23T16:55:01.066Z INFO  client] Sending sample transaction 82
[2022-07-23T16:55:01.117Z INFO  client] Sending sample transaction 83
[2022-07-23T16:55:01.166Z INFO  client] Sending sample transaction 84
[2022-07-23T16:55:01.246Z INFO  client] Sending sample transaction 85
[2022-07-23T16:55:01.299Z INFO  client] Sending sample transaction 86
[2022-07-23T16:55:01.371Z INFO  client] Sending sample transaction 87
[2022-07-23T16:55:01.409Z INFO  client] Sending sample transaction 88
[2022-07-23T16:55:01.428Z INFO  client] Sending sample transaction 89
[2022-07-23T16:55:01.468Z INFO  client] Sending sample transaction 90
[2022-07-23T16:55:01.524Z INFO  client] Sending sample transaction 91
[2022-07-23T16:55:01.567Z INFO  client] Sending sample transaction 92
[2022-07-23T16:55:01.617Z INFO  client] Sending sample transaction 93
[2022-07-23T16:55:01.667Z INFO  client] Sending sample transaction 94
[2022-07-23T16:55:01.716Z INFO  client] Sending sample transaction 95
[2022-07-23T16:55:01.766Z INFO  client] Sending sample transaction 96
[2022-07-23T16:55:01.817Z INFO  client] Sending sample transaction 97
[2022-07-23T16:55:01.867Z INFO  client] Sending sample transaction 98
[2022-07-23T16:55:01.916Z INFO  client] Sending sample transaction 99
[2022-07-23T16:55:01.967Z INFO  client] Sending sample transaction 100
[2022-07-23T16:55:02.017Z INFO  client] Sending sample transaction 101
[2022-07-23T16:55:02.066Z INFO  client] Sending sample transaction 102
[2022-07-23T16:55:02.116Z INFO  client] Sending sample transaction 103
[2022-07-23T16:55:02.167Z INFO  client] Sending sample transaction 104
[2022-07-23T16:55:02.216Z INFO  client] Sending sample transaction 105
[2022-07-23T16:55:02.267Z INFO  client] Sending sample transaction 106
[2022-07-23T16:55:02.317Z INFO  client] Sending sample transaction 107
[2022-07-23T16:55:02.366Z INFO  client] Sending sample transaction 108
[2022-07-23T16:55:02.417Z INFO  client] Sending sample transaction 109
[2022-07-23T16:55:02.466Z INFO  client] Sending sample transaction 110
[2022-07-23T16:55:02.516Z INFO  client] Sending sample transaction 111
[2022-07-23T16:55:02.567Z INFO  client] Sending sample transaction 112
[2022-07-23T16:55:02.617Z INFO  client] Sending sample transaction 113
[2022-07-23T16:55:02.667Z INFO  client] Sending sample transaction 114
[2022-07-23T16:55:02.717Z INFO  client] Sending sample transaction 115
[2022-07-23T16:55:02.767Z INFO  client] Sending sample transaction 116
[2022-07-23T16:55:02.816Z INFO  client] Sending sample transaction 117
[2022-07-23T16:55:02.867Z INFO  client] Sending sample transaction 118
[2022-07-23T16:55:02.924Z INFO  client] Sending sample transaction 119
[2022-07-23T16:55:02.972Z INFO  client] Sending sample transaction 120
[2022-07-23T16:55:03.017Z INFO  client] Sending sample transaction 121
[2022-07-23T16:55:03.066Z INFO  client] Sending sample transaction 122
[2022-07-23T16:55:03.116Z INFO  client] Sending sample transaction 123
[2022-07-23T16:55:03.167Z INFO  client] Sending sample transaction 124
[2022-07-23T16:55:03.216Z INFO  client] Sending sample transaction 125
[2022-07-23T16:55:03.267Z INFO  client] Sending sample transaction 126
[2022-07-23T16:55:03.317Z INFO  client] Sending sample transaction 127
[2022-07-23T16:55:03.367Z INFO  client] Sending sample transaction 128
[2022-07-23T16:55:03.416Z INFO  client] Sending sample transaction 129
[2022-07-23T16:55:03.475Z INFO  client] Sending sample transaction 130
[2022-07-23T16:55:03.524Z INFO  client] Sending sample transaction 131
[2022-07-23T16:55:03.566Z INFO  client] Sending sample transaction 132
[2022-07-23T16:55:03.616Z INFO  client] Sending sample transaction 133
[2022-07-23T16:55:03.666Z INFO  client] Sending sample transaction 134
[2022-07-23T16:55:03.716Z INFO  client] Sending sample transaction 135
[2022-07-23T16:55:03.766Z INFO  client] Sending sample transaction 136
[2022-07-23T16:55:03.817Z INFO  client] Sending sample transaction 137
[2022-07-23T16:55:03.867Z INFO  client] Sending sample transaction 138
[2022-07-23T16:55:03.916Z INFO  client] Sending sample transaction 139
[2022-07-23T16:55:03.966Z INFO  client] Sending sample transaction 140
[2022-07-23T16:55:04.016Z INFO  client] Sending sample transaction 141
[2022-07-23T16:55:04.066Z INFO  client] Sending sample transaction 142
[2022-07-23T16:55:04.117Z INFO  client] Sending sample transaction 143
[2022-07-23T16:55:04.167Z INFO  client] Sending sample transaction 144
[2022-07-23T16:55:04.216Z INFO  client] Sending sample transaction 145
[2022-07-23T16:55:04.266Z INFO  client] Sending sample transaction 146
[2022-07-23T16:55:04.316Z INFO  client] Sending sample transaction 147
[2022-07-23T16:55:04.367Z INFO  client] Sending sample transaction 148
[2022-07-23T16:55:04.416Z INFO  client] Sending sample transaction 149
[2022-07-23T16:55:04.466Z INFO  client] Sending sample transaction 150
[2022-07-23T16:55:04.517Z INFO  client] Sending sample transaction 151
[2022-07-23T16:55:04.566Z INFO  client] Sending sample transaction 152
[2022-07-23T16:55:04.617Z INFO  client] Sending sample transaction 153
