[2022-07-24T10:33:29.798Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9005
[2022-07-24T10:33:29.798Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-24T10:33:29.798Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9006
[2022-07-24T10:33:29.798Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9007
[2022-07-24T10:33:29.798Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9001
[2022-07-24T10:33:29.799Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9004
[2022-07-24T10:33:29.799Z INFO  consensus::core] I'm handler J+CYDWGZ9N4WApdC handling for block B2 with round number 2 with QC 0 from leader Fcs2qF8cFdkeiQD3
[2022-07-24T10:33:29.801Z INFO  consensus::core] I'm processor J+CYDWGZ9N4WApdC processing for block B2 with round number 2 with QC 0 from leader Fcs2qF8cFdkeiQD3
[2022-07-24T10:33:29.801Z INFO  consensus::core] I'm voter J+CYDWGZ9N4WApdC voting for block B2 with round number 2 with QC 0 from leader Fcs2qF8cFdkeiQD3
[2022-07-24T10:33:29.801Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-24T10:33:29.799Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9008
[2022-07-24T10:33:29.813Z INFO  network::receiver] Incoming connection established with 127.0.0.1:57844
[2022-07-24T10:33:29.813Z INFO  network::receiver] Incoming connection established with 127.0.0.1:57830
[2022-07-24T10:33:29.814Z INFO  consensus::core] I'm handler J+CYDWGZ9N4WApdC handling for block B4 with round number 4 with QC 3 from leader KRunA84F8Br66P0+
[2022-07-24T10:33:29.816Z INFO  consensus::core] I'm processor J+CYDWGZ9N4WApdC processing for block B4 with round number 4 with QC 3 from leader KRunA84F8Br66P0+
[2022-07-24T10:33:29.816Z INFO  consensus::core] I'm voter J+CYDWGZ9N4WApdC voting for block B4 with round number 4 with QC 3 from leader KRunA84F8Br66P0+
[2022-07-24T10:33:29.817Z INFO  consensus::core] I'm handler J+CYDWGZ9N4WApdC handling for block B2 with round number 2 with QC 0 from leader Fcs2qF8cFdkeiQD3
[2022-07-24T10:33:29.819Z INFO  consensus::core] I'm processor J+CYDWGZ9N4WApdC processing for block B2 with round number 2 with QC 0 from leader Fcs2qF8cFdkeiQD3
[2022-07-24T10:33:29.819Z INFO  consensus::core] I'm voter J+CYDWGZ9N4WApdC voting for block B2 with round number 2 with QC 0 from leader Fcs2qF8cFdkeiQD3
[2022-07-24T10:33:29.831Z INFO  network::receiver] Incoming connection established with 127.0.0.1:57851
[2022-07-24T10:33:29.831Z INFO  consensus::core] I'm handler J+CYDWGZ9N4WApdC handling for block B2 with round number 2 with QC 0 from leader Fcs2qF8cFdkeiQD3
[2022-07-24T10:33:29.832Z INFO  consensus::core] I'm processor J+CYDWGZ9N4WApdC processing for block B2 with round number 2 with QC 0 from leader Fcs2qF8cFdkeiQD3
[2022-07-24T10:33:29.832Z INFO  consensus::core] I'm voter J+CYDWGZ9N4WApdC voting for block B2 with round number 2 with QC 0 from leader Fcs2qF8cFdkeiQD3
[2022-07-24T10:33:29.833Z INFO  consensus::core] I'm handler J+CYDWGZ9N4WApdC handling for block B5 with round number 5 with QC 4 from leader MnVIDGKx3HBnnu3p
[2022-07-24T10:33:29.834Z INFO  consensus::core] I'm processor J+CYDWGZ9N4WApdC processing for block B5 with round number 5 with QC 4 from leader MnVIDGKx3HBnnu3p
[2022-07-24T10:33:29.834Z INFO  consensus::core] I'm voter J+CYDWGZ9N4WApdC voting for block B5 with round number 5 with QC 4 from leader MnVIDGKx3HBnnu3p
[2022-07-24T10:33:29.846Z INFO  mempool::batch_maker] Batch sOEbjs5YqlAvBiWlvTNvG30OZ4dTPQ0pZBx986eSdIs= contains sample tx 0
[2022-07-24T10:33:29.846Z INFO  mempool::batch_maker] Batch sOEbjs5YqlAvBiWlvTNvG30OZ4dTPQ0pZBx986eSdIs= contains 2560 B
[2022-07-24T10:33:29.846Z INFO  network::receiver] Incoming connection established with 127.0.0.1:57861
[2022-07-24T10:33:29.849Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9024
[2022-07-24T10:33:29.851Z INFO  consensus::core] I'm handler J+CYDWGZ9N4WApdC handling for block B6 with round number 6 with QC 5 from leader XQfLAFCJtgUhACWR
[2022-07-24T10:33:29.852Z INFO  consensus::core] I'm processor J+CYDWGZ9N4WApdC processing for block B6 with round number 6 with QC 5 from leader XQfLAFCJtgUhACWR
