[2022-07-24T10:15:46.279Z INFO  client] Node address: 127.0.0.1:9012
[2022-07-24T10:15:46.280Z INFO  client] Transactions size: 512 B
[2022-07-24T10:15:46.280Z INFO  client] Transactions rate: 112 tx/s
[2022-07-24T10:15:46.280Z INFO  client] Waiting for all nodes to be online...
[2022-07-24T10:15:46.280Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-24T10:15:48.284Z INFO  client] Start sending transactions
[2022-07-24T10:15:48.286Z INFO  client] Sending sample transaction 0
[2022-07-24T10:15:48.336Z INFO  client] Sending sample transaction 1
[2022-07-24T10:15:48.386Z INFO  client] Sending sample transaction 2
[2022-07-24T10:15:48.443Z INFO  client] Sending sample transaction 3
[2022-07-24T10:15:48.487Z INFO  client] Sending sample transaction 4
[2022-07-24T10:15:48.538Z INFO  client] Sending sample transaction 5
[2022-07-24T10:15:48.596Z INFO  client] Sending sample transaction 6
[2022-07-24T10:15:48.634Z INFO  client] Sending sample transaction 7
[2022-07-24T10:15:48.686Z INFO  client] Sending sample transaction 8
[2022-07-24T10:15:48.735Z INFO  client] Sending sample transaction 9
[2022-07-24T10:15:48.785Z INFO  client] Sending sample transaction 10
[2022-07-24T10:15:48.879Z INFO  client] Sending sample transaction 11
[2022-07-24T10:15:48.917Z INFO  client] Sending sample transaction 12
[2022-07-24T10:15:48.939Z INFO  client] Sending sample transaction 13
[2022-07-24T10:15:48.987Z INFO  client] Sending sample transaction 14
[2022-07-24T10:15:49.034Z INFO  client] Sending sample transaction 15
[2022-07-24T10:15:49.085Z INFO  client] Sending sample transaction 16
[2022-07-24T10:15:49.135Z INFO  client] Sending sample transaction 17
[2022-07-24T10:15:49.185Z INFO  client] Sending sample transaction 18
[2022-07-24T10:15:49.235Z INFO  client] Sending sample transaction 19
[2022-07-24T10:15:49.285Z INFO  client] Sending sample transaction 20
[2022-07-24T10:15:49.335Z INFO  client] Sending sample transaction 21
[2022-07-24T10:15:49.384Z INFO  client] Sending sample transaction 22
[2022-07-24T10:15:49.435Z INFO  client] Sending sample transaction 23
[2022-07-24T10:15:49.485Z INFO  client] Sending sample transaction 24
[2022-07-24T10:15:49.534Z INFO  client] Sending sample transaction 25
[2022-07-24T10:15:49.586Z INFO  client] Sending sample transaction 26
[2022-07-24T10:15:49.636Z INFO  client] Sending sample transaction 27
[2022-07-24T10:15:49.685Z INFO  client] Sending sample transaction 28
[2022-07-24T10:15:49.735Z INFO  client] Sending sample transaction 29
[2022-07-24T10:15:49.786Z INFO  client] Sending sample transaction 30
[2022-07-24T10:15:49.835Z INFO  client] Sending sample transaction 31
[2022-07-24T10:15:49.885Z INFO  client] Sending sample transaction 32
[2022-07-24T10:15:49.935Z INFO  client] Sending sample transaction 33
[2022-07-24T10:15:49.986Z INFO  client] Sending sample transaction 34
[2022-07-24T10:15:50.035Z INFO  client] Sending sample transaction 35
[2022-07-24T10:15:50.085Z INFO  client] Sending sample transaction 36
[2022-07-24T10:15:50.136Z INFO  client] Sending sample transaction 37
[2022-07-24T10:15:50.186Z INFO  client] Sending sample transaction 38
[2022-07-24T10:15:50.235Z INFO  client] Sending sample transaction 39
[2022-07-24T10:15:50.285Z INFO  client] Sending sample transaction 40
[2022-07-24T10:15:50.336Z INFO  client] Sending sample transaction 41
[2022-07-24T10:15:50.385Z INFO  client] Sending sample transaction 42
[2022-07-24T10:15:50.517Z INFO  client] Sending sample transaction 43
[2022-07-24T10:15:50.586Z INFO  client] Sending sample transaction 44
[2022-07-24T10:15:50.586Z INFO  client] Sending sample transaction 45
[2022-07-24T10:15:50.655Z INFO  client] Sending sample transaction 46
[2022-07-24T10:15:50.694Z INFO  client] Sending sample transaction 47
[2022-07-24T10:15:50.729Z INFO  client] Sending sample transaction 48
[2022-07-24T10:15:50.751Z INFO  client] Sending sample transaction 49
[2022-07-24T10:15:50.805Z INFO  client] Sending sample transaction 50
[2022-07-24T10:15:50.847Z INFO  client] Sending sample transaction 51
[2022-07-24T10:15:50.888Z INFO  client] Sending sample transaction 52
[2022-07-24T10:15:50.935Z INFO  client] Sending sample transaction 53
[2022-07-24T10:15:50.985Z INFO  client] Sending sample transaction 54
[2022-07-24T10:15:51.035Z INFO  client] Sending sample transaction 55
[2022-07-24T10:15:51.086Z INFO  client] Sending sample transaction 56
[2022-07-24T10:15:51.135Z INFO  client] Sending sample transaction 57
[2022-07-24T10:15:51.185Z INFO  client] Sending sample transaction 58
[2022-07-24T10:15:51.235Z INFO  client] Sending sample transaction 59
[2022-07-24T10:15:51.285Z INFO  client] Sending sample transaction 60
[2022-07-24T10:15:51.335Z INFO  client] Sending sample transaction 61
[2022-07-24T10:15:51.385Z INFO  client] Sending sample transaction 62
[2022-07-24T10:15:51.435Z INFO  client] Sending sample transaction 63
[2022-07-24T10:15:51.485Z INFO  client] Sending sample transaction 64
[2022-07-24T10:15:51.534Z INFO  client] Sending sample transaction 65
[2022-07-24T10:15:51.585Z INFO  client] Sending sample transaction 66
[2022-07-24T10:15:51.635Z INFO  client] Sending sample transaction 67
[2022-07-24T10:15:51.685Z INFO  client] Sending sample transaction 68
[2022-07-24T10:15:51.735Z INFO  client] Sending sample transaction 69
[2022-07-24T10:15:51.785Z INFO  client] Sending sample transaction 70
[2022-07-24T10:15:51.834Z INFO  client] Sending sample transaction 71
[2022-07-24T10:15:51.885Z INFO  client] Sending sample transaction 72
