[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> BsbIpGbNvTABUSdHf7JTRNgqlc2vl5ZiOwQ/QWmVSsI=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> QvMwS6BfCx2Ir3sscJ8vowCi1ne68gjZxJGFYsRy9u4=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> iAiWde8+d5zGtGuJk4Y4+EQw78kOdB/90AQTK4XrTiE=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> o65mHTrHSRUVr3R+Ttbt6mFBfBWipn44f4cN9kqmcNI=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> tdkuWA8h1MpbvIlrf8GiH4yFZgaWdD0r1+a3q6tSMAE=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> OnRfy3s3WyO95dLDKvv/VQSOC464dQ6u0lwuyCgt8V0=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> 2Q4N/D+jaCcv2HeNm7vohl5xRwRJlHgEOgOidaZ4vBk=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> pjzA8FDDdP0wsHlZraeUxfjpOuZ1swZ8ZQlC+MEfEU8=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> kRmgXIamgL4wVzwvVOppmBJs3ANlEINmWVAZEZNpSLU=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> 779lUv6jDFCqSFWVQwniraPoLuWSB/LUoo5haNhVamM=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> Pc1GUinNx1sWZIaaSopXbbdeEN+ka7QEQ4FutjCzu1U=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> mn+UCeUlHakAkLu5cf6e1p0gOK0GAsaZ4ptdkFUMh/Y=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> yDWuDypJNqxCN3ayMlwc9FMCeYiP3vAWdLq2mhdHi1g=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> jJcVOdutQBUZ+hkQT939xDseL9yjqQs4mv6ruURjPBQ=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> q9xcKdLid/7Npas6uJlO5lpAyAh1giYK+lHmeV8iMew=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> I+sfv6mGNtM2ebFP3rQLmfS3eQebuHuuYszs+EaAAiU=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> l6X4RekirIWhyqPyXpVVW4oxV2OHIcUfYzup/3MCgiI=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> 7QIj+F/pM3ev4xYFPsMIZ/90rmWU6REQwgVQfssoHH8=
[2022-07-17T10:46:50.272Z INFO  consensus::proposer] Created B4 -> TX/7v22VBejvzfHPw0NvHAvm2GvrJUqF3QpnhREfVZg=
