[2022-07-23T18:02:26.369Z INFO  client] Node address: 127.0.0.1:9014
[2022-07-23T18:02:26.370Z INFO  client] Transactions size: 512 B
[2022-07-23T18:02:26.370Z INFO  client] Transactions rate: 112 tx/s
[2022-07-23T18:02:26.370Z INFO  client] Waiting for all nodes to be online...
[2022-07-23T18:02:26.370Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-23T18:02:28.383Z INFO  client] Start sending transactions
[2022-07-23T18:02:28.387Z INFO  client] Sending sample transaction 0
[2022-07-23T18:02:28.434Z INFO  client] Sending sample transaction 1
[2022-07-23T18:02:28.485Z INFO  client] Sending sample transaction 2
[2022-07-23T18:02:28.536Z INFO  client] Sending sample transaction 3
[2022-07-23T18:02:28.605Z INFO  client] Sending sample transaction 4
[2022-07-23T18:02:28.720Z INFO  client] Sending sample transaction 5
[2022-07-23T18:02:28.721Z INFO  client] Sending sample transaction 6
[2022-07-23T18:02:28.766Z INFO  client] Sending sample transaction 7
[2022-07-23T18:02:28.829Z INFO  client] Sending sample transaction 8
[2022-07-23T18:02:29.055Z INFO  client] Sending sample transaction 9
[2022-07-23T18:02:29.055Z WARN  client] Transaction rate too high for this client
[2022-07-23T18:02:29.055Z INFO  client] Sending sample transaction 10
[2022-07-23T18:02:29.093Z INFO  client] Sending sample transaction 11
[2022-07-23T18:02:29.096Z INFO  client] Sending sample transaction 12
[2022-07-23T18:02:29.138Z INFO  client] Sending sample transaction 13
[2022-07-23T18:02:29.139Z INFO  client] Sending sample transaction 14
[2022-07-23T18:02:29.139Z INFO  client] Sending sample transaction 15
[2022-07-23T18:02:29.193Z INFO  client] Sending sample transaction 16
[2022-07-23T18:02:29.304Z INFO  client] Sending sample transaction 17
[2022-07-23T18:02:29.333Z INFO  client] Sending sample transaction 18
[2022-07-23T18:02:29.349Z INFO  client] Sending sample transaction 19
[2022-07-23T18:02:29.394Z INFO  client] Sending sample transaction 20
[2022-07-23T18:02:29.435Z INFO  client] Sending sample transaction 21
[2022-07-23T18:02:29.487Z INFO  client] Sending sample transaction 22
[2022-07-23T18:02:29.537Z INFO  client] Sending sample transaction 23
[2022-07-23T18:02:29.586Z INFO  client] Sending sample transaction 24
[2022-07-23T18:02:29.638Z INFO  client] Sending sample transaction 25
[2022-07-23T18:02:29.685Z INFO  client] Sending sample transaction 26
[2022-07-23T18:02:29.744Z INFO  client] Sending sample transaction 27
[2022-07-23T18:02:29.786Z INFO  client] Sending sample transaction 28
[2022-07-23T18:02:29.849Z INFO  client] Sending sample transaction 29
[2022-07-23T18:02:29.896Z INFO  client] Sending sample transaction 30
[2022-07-23T18:02:29.942Z INFO  client] Sending sample transaction 31
[2022-07-23T18:02:29.987Z INFO  client] Sending sample transaction 32
[2022-07-23T18:02:30.039Z INFO  client] Sending sample transaction 33
[2022-07-23T18:02:30.092Z INFO  client] Sending sample transaction 34
[2022-07-23T18:02:30.134Z INFO  client] Sending sample transaction 35
[2022-07-23T18:02:30.185Z INFO  client] Sending sample transaction 36
[2022-07-23T18:02:30.234Z INFO  client] Sending sample transaction 37
[2022-07-23T18:02:30.286Z INFO  client] Sending sample transaction 38
[2022-07-23T18:02:30.334Z INFO  client] Sending sample transaction 39
[2022-07-23T18:02:30.383Z INFO  client] Sending sample transaction 40
[2022-07-23T18:02:30.439Z INFO  client] Sending sample transaction 41
[2022-07-23T18:02:30.485Z INFO  client] Sending sample transaction 42
[2022-07-23T18:02:30.535Z INFO  client] Sending sample transaction 43
[2022-07-23T18:02:30.584Z INFO  client] Sending sample transaction 44
[2022-07-23T18:02:30.634Z INFO  client] Sending sample transaction 45
[2022-07-23T18:02:30.713Z INFO  client] Sending sample transaction 46
[2022-07-23T18:02:30.777Z INFO  client] Sending sample transaction 47
[2022-07-23T18:02:30.828Z INFO  client] Sending sample transaction 48
[2022-07-23T18:02:30.881Z INFO  client] Sending sample transaction 49
