[2022-07-24T10:33:57.114Z INFO  client] Node address: 127.0.0.1:9013
[2022-07-24T10:33:57.115Z INFO  client] Transactions size: 512 B
[2022-07-24T10:33:57.115Z INFO  client] Transactions rate: 112 tx/s
[2022-07-24T10:33:57.115Z INFO  client] Waiting for all nodes to be online...
[2022-07-24T10:33:57.115Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-24T10:33:59.134Z INFO  client] Start sending transactions
[2022-07-24T10:33:59.156Z INFO  client] Sending sample transaction 0
[2022-07-24T10:33:59.193Z INFO  client] Sending sample transaction 1
[2022-07-24T10:33:59.236Z INFO  client] Sending sample transaction 2
[2022-07-24T10:33:59.286Z INFO  client] Sending sample transaction 3
[2022-07-24T10:33:59.337Z INFO  client] Sending sample transaction 4
[2022-07-24T10:33:59.385Z INFO  client] Sending sample transaction 5
[2022-07-24T10:33:59.444Z INFO  client] Sending sample transaction 6
[2022-07-24T10:33:59.486Z INFO  client] Sending sample transaction 7
[2022-07-24T10:33:59.536Z INFO  client] Sending sample transaction 8
[2022-07-24T10:33:59.587Z INFO  client] Sending sample transaction 9
[2022-07-24T10:33:59.635Z INFO  client] Sending sample transaction 10
[2022-07-24T10:33:59.686Z INFO  client] Sending sample transaction 11
[2022-07-24T10:33:59.738Z INFO  client] Sending sample transaction 12
[2022-07-24T10:33:59.786Z INFO  client] Sending sample transaction 13
[2022-07-24T10:33:59.836Z INFO  client] Sending sample transaction 14
[2022-07-24T10:33:59.885Z INFO  client] Sending sample transaction 15
[2022-07-24T10:33:59.944Z INFO  client] Sending sample transaction 16
[2022-07-24T10:33:59.987Z INFO  client] Sending sample transaction 17
[2022-07-24T10:34:00.037Z INFO  client] Sending sample transaction 18
[2022-07-24T10:34:00.092Z INFO  client] Sending sample transaction 19
[2022-07-24T10:34:00.138Z INFO  client] Sending sample transaction 20
[2022-07-24T10:34:00.188Z INFO  client] Sending sample transaction 21
[2022-07-24T10:34:00.247Z INFO  client] Sending sample transaction 22
[2022-07-24T10:34:00.291Z INFO  client] Sending sample transaction 23
[2022-07-24T10:34:00.337Z INFO  client] Sending sample transaction 24
[2022-07-24T10:34:00.388Z INFO  client] Sending sample transaction 25
[2022-07-24T10:34:00.435Z INFO  client] Sending sample transaction 26
[2022-07-24T10:34:00.487Z INFO  client] Sending sample transaction 27
